Small Election,5.2.16.1,,,,,,,,,,,,,,,,,
,,,,,,,,Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1)
,,,,,,,,Erin George,Alex Hall,Write-In,Clem Bradley,Rene Carr,Blair Atkinson,Sam Shaw,Write-In,Denny Vargas,Jackie Sweet,Emerson Thornton
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,PrecinctPortion,BallotType,,,,,,,,,,,
0,Tabulator A,Batch 1,1,Tabulator A-Batch 1-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
1,Tabulator A,Batch 1,2,Tabulator A-Batch 1-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,1,0
2,Tabulator A,Batch 1,3,Tabulator A-Batch 1-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
3,Tabulator A,Batch 1,4,Tabulator A-Batch 1-4,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,1,0,0
4,Tabulator A,Batch 1,5,Tabulator A-Batch 1-5,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
5,Tabulator A,Batch 1,6,Tabulator A-Batch 1-6,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
6,Tabulator A,Batch 1,7,Tabulator A-Batch 1-7,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
7,Tabulator A,Batch 1,8,Tabulator A-Batch 1-8,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
8,Tabulator A,Batch 1,9,Tabulator A-Batch 1-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
9,Tabulator A,Batch 1,10,Tabulator A-Batch 1-10,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
10,Tabulator A,Batch 1,11,Tabulator A-Batch 1-11,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
11,Tabulator A,Batch 1,12,Tabulator A-Batch 1-12,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
12,Tabulator A,Batch 1,13,Tabulator A-Batch 1-13,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
13,Tabulator A,Batch 1,14,Tabulator A-Batch 1-14,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
14,Tabulator A,Batch 1,15,Tabulator A-Batch 1-15,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
15,Tabulator A,Batch 1,16,Tabulator A-Batch 1-16,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
16,Tabulator A,Batch 1,17,Tabulator A-Batch 1-17,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
17,Tabulator A,Batch 1,18,Tabulator A-Batch 1-18,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
18,Tabulator A,Batch 1,19,Tabulator A-Batch 1-19,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,1,1,1,1,1,0,0
19,Tabulator A,Batch 1,20,Tabulator A-Batch 1-20,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
20,Tabulator A,Batch 1,21,Tabulator A-Batch 1-21,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,1,1
21,Tabulator A,Batch 1,22,Tabulator A-Batch 1-22,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
22,Tabulator A,Batch 1,23,Tabulator A-Batch 1-23,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
23,Tabulator A,Batch 1,24,Tabulator A-Batch 1-24,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
24,Tabulator A,Batch 1,25,Tabulator A-Batch 1-25,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0,0,0,1,1,0,0
25,Tabulator A,Batch 1,26,Tabulator A-Batch 1-26,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
26,Tabulator A,Batch 1,27,Tabulator A-Batch 1-27,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
27,Tabulator B,Batch 2,1,Tabulator B-Batch 2-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
28,Tabulator B,Batch 2,2,Tabulator B-Batch 2-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
29,Tabulator B,Batch 2,3,Tabulator B-Batch 2-3,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
30,Tabulator B,Batch 2,4,Tabulator B-Batch 2-4,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
31,Tabulator B,Batch 2,5,Tabulator B-Batch 2-5,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
32,Tabulator B,Batch 2,6,Tabulator B-Batch 2-6,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
33,Tabulator B,Batch 2,7,Tabulator B-Batch 2-7,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
34,Tabulator B,Batch 2,8,Tabulator B-Batch 2-8,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
35,Tabulator B,Batch 2,9,Tabulator B-Batch 2-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,1,1
36,Tabulator B,Batch 2,10,Tabulator B-Batch 2-10,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,1,0
37,Tabulator B,Batch 2,11,Tabulator B-Batch 2-11,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0,0,0,0,1,0,0
38,Tabulator B,Batch 2,12,Tabulator B-Batch 2-12,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,0,0
39,Tabulator B,Batch 2,13,Tabulator B-Batch 2-13,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
40,Tabulator B,Batch 2,14,Tabulator B-Batch 2-14,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
41,Tabulator B,Batch 2,15,Tabulator B-Batch 2-15,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
42,Tabulator B,Batch 2,16,Tabulator B-Batch 2-16,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
43,Tabulator B,Batch 2,17,Tabulator B-Batch 2-17,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
44,Tabulator B,Batch 2,18,Tabulator B-Batch 2-18,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
45,Tabulator B,Batch 2,19,Tabulator B-Batch 2-19,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
46,Tabulator B,Batch 2,20,Tabulator B-Batch 2-20,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
47,Tabulator B,Batch 2,21,Tabulator B-Batch 2-21,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
48,Tabulator B,Batch 2,22,Tabulator B-Batch 2-22,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
49,Tabulator B,Batch 2,23,Tabulator B-Batch 2-23,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
50,Tabulator B,Batch 2,24,Tabulator B-Batch 2-24,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
51,Tabulator B,Batch 2,25,Tabulator B-Batch 2-25,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
52,Tabulator C,Batch 3,1,Tabulator C-Batch 3-1,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,1,1
53,Tabulator C,Batch 3,2,Tabulator C-Batch 3-2,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
54,Tabulator C,Batch 3,3,Tabulator C-Batch 3-3,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
55,Tabulator C,Batch 3,4,Tabulator C-Batch 3-4,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,1,0
56,Tabulator C,Batch 3,5,Tabulator C-Batch 3-5,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
57,Tabulator C,Batch 3,6,Tabulator C-Batch 3-6,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
58,Tabulator C,Batch 3,7,Tabulator C-Batch 3-7,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
59,Tabulator C,Batch 3,8,Tabulator C-Batch 3-8,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
60,Tabulator C,Batch 3,9,Tabulator C-Batch 3-9,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
61,Tabulator C,Batch 3,10,Tabulator C-Batch 3-10,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
62,Tabulator C,Batch 3,11,Tabulator C-Batch 3-11,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
63,Tabulator C,Batch 3,12,Tabulator C-Batch 3-12,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,0,1,0
64,Tabulator C,Batch 3,13,Tabulator C-Batch 3-13,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
65,Tabulator C,Batch 3,14,Tabulator C-Batch 3-14,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
66,Tabulator C,Batch 3,15,Tabulator C-Batch 3-15,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
67,Tabulator C,Batch 3,16,Tabulator C-Batch 3-16,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
68,Tabulator C,Batch 3,17,Tabulator C-Batch 3-17,Election Day,precinct-portion-1,ballot-type-1,1,1,1,0,0,0,0,0,1,0,0
69,Tabulator C,Batch 3,18,Tabulator C-Batch 3-18,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
70,Tabulator C,Batch 3,19,Tabulator C-Batch 3-19,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
71,Tabulator C,Batch 3,20,Tabulator C-Batch 3-20,Election Day,precinct-portion-1,ballot-type-1,0,0,0,,,,,,1,0,0
72,Tabulator C,Batch 3,21,Tabulator C-Batch 3-21,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
73,Tabulator C,Batch 3,22,Tabulator C-Batch 3-22,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
74,Tabulator C,Batch 3,23,Tabulator C-Batch 3-23,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
75,Tabulator C,Batch 3,24,Tabulator C-Batch 3-24,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
76,Tabulator C,Batch 3,25,Tabulator C-Batch 3-25,Election Day,precinct-portion-1,ballot-type-1,,,,,,,,,1,0,0
77,Tabulator C,Batch 3,26,Tabulator C-Batch 3-26,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,1,0,0
