Batch Name,Clem Bradley,Rene Carr,Blair Atkinson,Sam Shaw,Write-In
Batch 1,33,2,0,0,0
Batch 2,10,0,0,0,0
Batch 3,46,2,0,0,0
Batch 4,32,1,0,0,0
Batch 5,19,0,0,0,0
Batch 6,45,2,0,0,0
Batch 7,10,1,0,0,0
Batch 8,11,0,0,0,0
Batch 9,24,0,0,0,0
Batch 10,47,0,0,0,0
Batch 11,26,2,0,0,0
Batch 12,18,0,0,0,0
Batch 13,14,1,0,0,0
Batch 14,26,0,0,0,0
Batch 15,21,0,0,0,0
Batch 16,48,0,0,0,0
Batch 17,15,0,0,0,0
Batch 18,27,1,0,0,0
Batch 19,17,0,0,0,0
Batch 20,24,1,0,0,0
Batch 21,38,1,0,0,0
Batch 22,25,1,0,0,0
Batch 23,9,0,0,0,0
Batch 24,45,2,0,0,0
Batch 25,46,0,0,0,0
Batch 26,5,1,0,0,0
