Tabulator,Batch Name,Number of Ballots
Tabulator A,Batch 1,7
Tabulator B,Batch 2,41
Tabulator C,Batch 3,45
Tabulator A,Batch 4,46
Tabulator B,Batch 5,13
Tabulator C,Batch 6,42
Tabulator A,Batch 7,43
Tabulator B,Batch 8,12
Tabulator C,Batch 9,41
Tabulator A,Batch 10,41
Tabulator B,Batch 11,45
Tabulator C,Batch 12,29
Tabulator A,Batch 13,38
Tabulator B,Batch 14,26
Tabulator C,Batch 15,9
Tabulator A,Batch 16,5
Tabulator B,Batch 17,24
Tabulator C,Batch 18,7
Tabulator A,Batch 19,18
Tabulator B,Batch 20,17
Tabulator C,Batch 21,47
Tabulator A,Batch 22,48
Tabulator B,Batch 23,24
Tabulator C,Batch 24,26
