Batch Name,Number of Ballots
ALCONA COUNTY ALCONA TOWNSHIP 00001,293
ALCONA COUNTY CALEDONIA TOWNSHIP 00001,287
ALCONA COUNTY CURTIS TOWNSHIP 00001,308
ALCONA COUNTY GREENBUSH TOWNSHIP 00001,377
ALCONA COUNTY GUSTIN TOWNSHIP 00001,191
ALCONA COUNTY HARRISVILLE CITY 00001,114
ALCONA COUNTY HARRISVILLE TOWNSHIP 00001,343
ALCONA COUNTY HAWES TOWNSHIP 00001,283
ALCONA COUNTY HAYNES TOWNSHIP 00001,194
ALCONA COUNTY MIKADO TOWNSHIP 00001,236
ALCONA COUNTY MILLEN TOWNSHIP 00001,109
ALCONA COUNTY MITCHELL TOWNSHIP 00001,107
ALGER COUNTY AU TRAIN TOWNSHIP 00001,350
ALGER COUNTY BURT TOWNSHIP 00001,125
ALGER COUNTY GRAND ISLAND TOWNSHIP 00001,9
ALGER COUNTY LIMESTONE TOWNSHIP 00001,106
ALGER COUNTY MATHIAS TOWNSHIP 00001,132
ALGER COUNTY MUNISING CITY 00001,561
ALGER COUNTY MUNISING TOWNSHIP 00001,512
ALGER COUNTY ONOTA TOWNSHIP 00001,107
ALGER COUNTY ROCK RIVER TOWNSHIP 00001,312
ALLEGAN COUNTY ALLEGAN CITY 00001,355
ALLEGAN COUNTY ALLEGAN CITY 00002,731
ALLEGAN COUNTY ALLEGAN TOWNSHIP 00001,729
ALLEGAN COUNTY ALLEGAN TOWNSHIP 00002,304
ALLEGAN COUNTY CASCO TOWNSHIP 00001,707
ALLEGAN COUNTY CHESHIRE TOWNSHIP 00001,487
ALLEGAN COUNTY CLYDE TOWNSHIP 00001,416
ALLEGAN COUNTY DORR TOWNSHIP 00001,462
ALLEGAN COUNTY DORR TOWNSHIP 00002,685
ALLEGAN COUNTY DORR TOWNSHIP 00003,542
ALLEGAN COUNTY VILLAGE OF DOUGLAS CITY 00001,390
ALLEGAN COUNTY FENNVILLE CITY 00001,281
ALLEGAN COUNTY FILLMORE TOWNSHIP 00001,645
ALLEGAN COUNTY GANGES TOWNSHIP 00001,638
ALLEGAN COUNTY GUNPLAIN TOWNSHIP 00001,858
ALLEGAN COUNTY GUNPLAIN TOWNSHIP 00002,582
ALLEGAN COUNTY HEATH TOWNSHIP 00001,838
ALLEGAN COUNTY HOLLAND CITY 04009,409
ALLEGAN COUNTY HOLLAND CITY 05011,413
ALLEGAN COUNTY HOLLAND CITY 05012,402
ALLEGAN COUNTY HOLLAND CITY 05013,515
ALLEGAN COUNTY HOPKINS TOWNSHIP 00001,575
ALLEGAN COUNTY LAKETOWN TOWNSHIP 00001,540
ALLEGAN COUNTY LAKETOWN TOWNSHIP 00002,655
ALLEGAN COUNTY LAKETOWN TOWNSHIP 00003,265
ALLEGAN COUNTY LEE TOWNSHIP 00001,724
ALLEGAN COUNTY LEIGHTON TOWNSHIP 00001,874
ALLEGAN COUNTY LEIGHTON TOWNSHIP 00002,500
ALLEGAN COUNTY MANLIUS TOWNSHIP 00001,733
ALLEGAN COUNTY MARTIN TOWNSHIP 00001,585
ALLEGAN COUNTY MONTEREY TOWNSHIP 00001,513
ALLEGAN COUNTY OTSEGO CITY 00001,846
ALLEGAN COUNTY OTSEGO TOWNSHIP 00001,638
ALLEGAN COUNTY OTSEGO TOWNSHIP 00002,663
ALLEGAN COUNTY OVERISEL TOWNSHIP 00001,668
ALLEGAN COUNTY PLAINWELL CITY 00001,807
ALLEGAN COUNTY SALEM TOWNSHIP 00001,525
ALLEGAN COUNTY SALEM TOWNSHIP 00002,572
ALLEGAN COUNTY SAUGATUCK CITY 00001,256
ALLEGAN COUNTY SAUGATUCK TOWNSHIP 00001,880
ALLEGAN COUNTY SOUTH HAVEN CITY 03002,2
ALLEGAN COUNTY TROWBRIDGE TOWNSHIP 00001,580
ALLEGAN COUNTY VALLEY TOWNSHIP 00001,507
ALLEGAN COUNTY WATSON TOWNSHIP 00001,486
ALLEGAN COUNTY WAYLAND CITY 00001,878
ALLEGAN COUNTY WAYLAND TOWNSHIP 00001,801
ALPENA COUNTY ALPENA CITY 00001,791
ALPENA COUNTY ALPENA CITY 00003,418
ALPENA COUNTY ALPENA CITY 00004,411
ALPENA COUNTY ALPENA CITY 00005,397
ALPENA COUNTY ALPENA CITY 00006,492
ALPENA COUNTY ALPENA TOWNSHIP 00001,428
ALPENA COUNTY ALPENA TOWNSHIP 00002,530
ALPENA COUNTY ALPENA TOWNSHIP 00003,522
ALPENA COUNTY ALPENA TOWNSHIP 00004,347
ALPENA COUNTY ALPENA TOWNSHIP 00005,450
ALPENA COUNTY GREEN TOWNSHIP 00001,282
ALPENA COUNTY LONG RAPIDS TOWNSHIP 00001,242
